Name,Description,Is_attack_sigil
Abyss Cost,"For each ""TOKEN"" in your discard, you may play this card for 2 less [icon:bone] bones.",
Altar Bonus,"When looking at cards with [sigil:Divination] ""Divination"", add any Altar card you see to your hand.",
Amalgam Trait,"This card counts as every possible tribe.",
Ant Power,"This card's power is equal to the number of other Ant cards you control.",T
Assemblotron Cost,"This card may only be played by sacrificing an Automaton, Sniper Bot and Shield Bot, in any order.",
Blood Power,"This card's power is equal to the number of sacrifices you made this turn, to a maximum of 5.",T
Bloodless,"This card cannot be sacrificed.",
Bone Power,"This card's power is equal to half the number of unspent [icon:bone] bones you own, rounded down and to a maximum of 5.",T
Boneless,"This card does not drop a [icon:bone] bone when it perishes.",
Brittle Latcher Fix,"The affected card will only perish if it attacked while already having the sigil.",
Captive File Trait,"On its owner's second end step after this card was played, it is moved to the discard pile without perishing.",
Diamond Cost,"This card's cost must be paid entirely with gems of unique colors.",
Dice Power,"When played, roll a six-sided die numbered 1-6. This card's power is equal to the result.",T
Double Scavenger,"Each time you gain a [icon:bone] bone due to [sigil:Scavenger] ""Scavenger"", gain another.",
Gem Power,"This card's power is equal to the number of Mox cards you control.",T
Gift Dogs,"While this card is on the field, all Canine cards you control act as though they have the [sigil:GiftBearer] ""Gift Bearer"" sigil.",
Gnawed Remains Trait,"While this card is on the field, you may play Hound cards for half their cost, rounded down.",
Gone Reminder,"As a reminder, all changes to a card's power and sigils are reverted after it leaves the field.",
Target Required,"While this card is on the field, if the opposing slot is empty, this card has its power reduced to 2.",
Hand Power,"This card's power is equal to the number of cards in your hand, to a maximum of 5.",T
Kraken trait,"On your next draw step, search and place any Tentacle card over this one.",
Lammergier Trait,"If this card has 4 or more power, it does not recieve the effects of [sigil:Airborne] ""Airborne"".",
Maw Power,"This card's power is equal to 3 minus the number of Mox cards you control.",T
Mirror Power,"This card's power is equal to the opposing card's power.",T
Nine Lives,"While this card is on the field, when this card would be sacrificed it does not perish, after this trait triggers for the ninth time, this card is discarded without perishing then search a ""TOKEN"" from your deck to take its place.",
Thirteen Lives,"While this card is on the field, when this card would be sacrificed it does not perish, every time it is sacrified it toggles on and off 2 [resource:power]power and [sigil:airborne]airborne, after this trait triggers for the thirteenth time, this card is discarded without perishing then search a ""TOKEN"" from your deck to take its place.",
Noble Stag Trait,"Each time this card is sacrificed, it gains 1 power, to a maximum of 5.",
Pike Sage Trait,"If this card has 1 power, it strikes will simultaneously damage the opposing card and the scales directly.",
Pipe Bomb Trait,"If this card perishes due to [sigil:Rotting] ""Rotting"", the effects of [sigil:Detonator] Detonator will trigger as though this card had perished by combat.",
Search Brittle,"When played, search any common card with [sigil:Brittle] ""Brittle"" into your hand.",
Search Mechabeast,"When played, search any common Mechabeast card into your hand.",
Skeleton Army Trait,"When played, play a ""Skeleton"" from your side deck in each empty space on your side.",
Skeleton Crew Trait,"If you control a card with [sigil:SkeletonCrew] ""Skeleton Crew"", you may play this card for free.",
Smoke Trait,"You may move the scales 2 points closer to you in order to play this card for free.",
Spine Ripper Trait,"For each card in your discard with [sigil:Brittle] ""Brittle"", you may play this card for 1 less [icon:bone] bone.",
Strike Requirement,"If the slot this card would attack has a card in it this card deals an extra point of damage to it.",
The Bloated Trait,"When this card perishes, gain 1 extra bone for each card killed by its [sigil:Detonator] Detonator blast.",
traeH Power,"This card's power is equal to the opposing card's health.",T
Warren Trait,"When sacrificed, search 1 ""TOKEN"" into your hand.",
WERE THE RATS,"While this card is on the field, all Vermin cards you control act as though they have the [sigil:TouchofDeath] ""Touch of Death"" sigil.",
Unhammerable,"This card may not be hammered.",
Tribe Specific Effects,"Any tribal effects that do not specify ""TOKEN"" in its effect are not applied to this card.",
Beastly,"This card requires TOKEN cards worth of sacrifices, to be played."
Gem,"This card counts as a gem."
Rabbit Trait,"If this card came out of [sigil:RabbitHole]rabbit hole, give the summoner +1 [resource:health]health."
Loaded Trait,"If this card perishes due to a hammer draw 2 cards instead of 4 cards."
Bee Trait,"If this card came out of a Beehive, this card loses the [sigil:brittle]brittle sigil."
Mantis God Trait,"If the opposing slot is not empty, this card can also strike that slot."
